,NDC Description,Potential Dispensed Days,Risk Factor,Rolling Window Days,Mean of Rolling Sum,STD. Of Rolling Sum,Actual Dispensed Days,Recommended Min Level,Recommended Max Level
0,atorvastatin 80 mg tablet,92,1,5,432.10843373493975,199.76071124541232,53,432.10843373493975,631.8691449803521
1,pen needles 31g 8mm [100EA],92,1,5,867.5,497.1018063559546,42,867.5,1364.6018063559545
2,metFORMIN 500 mg tablet,92,1,5,1696.534090909091,569.1420029431201,74,1696.534090909091,2265.676093852211
3,allopurinol 100 mg tablet,92,1,5,336.75,228.87050675165528,37,336.75,565.6205067516553
4,simvastatin 10 mg tablet,92,1,5,994.1071428571429,548.2667985187534,52,994.1071428571429,1542.3739413758963
5,FLUoxetine 20 mg capsule,92,1,5,344.1279069767442,211.66915341200746,44,344.1279069767442,555.7970603887517
6,alfuzosin ER 10 mg tablet,92,1,5,143.26530612244898,89.84680839958554,14,143.26530612244898,233.11211452203452
7,Omega-3-Acid Ethyl Esters 1000 mg capsule,92,1,5,878.2758620689655,478.0707520288907,40,878.2758620689655,1356.3466140978562
8,propranolol ER 80 mg/24 hour capsule,92,1,5,108.29268292682927,33.459112288313186,11,108.29268292682927,141.75179521514247
9,omeprazole DR 20 mg capsule,92,1,5,1496.0227272727273,503.52867437149564,78,1496.0227272727273,1999.551401644223
10,Amitiza 8 mcg capsule,92,1,5,249.23076923076923,114.71436098145962,7,249.23076923076923,363.94513021222883
11,"ergocalciferol 1.25 mg (50,000 units) capsule",92,1,5,120.98863636363636,50.40149019831731,68,120.98863636363636,171.39012656195368
12,amLODIPine 5 mg tablet,92,1,5,523.75,235.7921961603372,63,523.75,759.5421961603372
13,atorvastatin 40 mg tablet,92,1,5,1091.875,436.0799202429303,76,1091.875,1527.9549202429303
14,losartan 100 mg tablet,92,1,5,462.6136363636364,202.94665126625796,55,462.6136363636364,665.5602876298943
15,hydroCHLOROthiazide 25 mg tablet,92,1,5,683.0113636363636,260.78081227976026,69,683.0113636363636,943.7921759161238
16,furosemide 40 mg tablet,92,1,5,292.32876712328766,145.3876097802889,28,292.32876712328766,437.7163769035766
17,aspirin EC 81 mg tablet,92,1,5,594.0909090909091,265.2001472045688,60,594.0909090909091,859.2910562954779
18,Januvia 100 mg tablet,92,1,5,208.03030303030303,137.57481541630298,28,208.03030303030303,345.605118446606
19,rosuvastatin 40 mg tablet,92,1,5,231.25,136.63911035597837,31,231.25,367.88911035597835
